Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
13-07-2022,23.2,30.0,26.0,88.0,13.0,0.4,0.0
14-07-2022,22.0,30.6,25.1,89.0,0.6,4.5,0.0
15-07-2022,24.2,26.0,24.2,96.0,4.5,1.7,0.0
16-07-2022,22.6,30.5,26.0,88.0,37.4,0.0,0.0
17-07-2022,23.8,31.6,26.7,87.0,37.4,2.6,1.0
18-07-2022,24.2,27.8,24.0,96.0,1.1,4.7,1.0
19-07-2022,22.0,29.2,24.8,93.0,69.9,0.0,0.0
20-07-2022,24.0,30.0,26.1,89.0,69.9,1.2,0.0
21-07-2022,23.4,30.2,25.2,92.0,0.9,1.8,0.0
22-07-2022,24.4,31.0,26.6,88.0,6.5,2.4,0.0
23-07-2022,23.5,31.0,26.4,86.0,6.5,3.4,0.0
24-07-2022,22.0,30.9,25.6,80.0,0.0,3.8,1.0
25-07-2022,21.4,31.0,25.3,83.0,0.0,6.8,1.0
26-07-2022,24.2,29.4,25.8,91.0,0.0,4.5,1.0
27-07-2022,23.4,30.8,26.0,85.0,16.4,2.1,1.0
28-07-2022,22.0,30.6,25.8,82.0,1.2,6.2,1.0
29-07-2022,24.0,31.4,26.4,82.0,1.0,4.5,2.0
30-07-2022,23.2,30.2,26.1,87.0,1.5,5.3,1.0
31-07-2022,24.4,27.4,24.9,95.0,33.2,3.3,2.0
01-08-2022,23.8,28.6,26.0,90.0,15.9,0.6,1.0
02-08-2022,24.0,30.6,26.6,86.0,7.0,0.5,1.0
03-08-2022,23.6,31.4,26.9,81.0,7.0,7.1,1.0
04-08-2022,22.0,31.7,26.2,82.0,0.0,7.9,1.0
05-08-2022,22.0,31.5,26.3,80.0,0.0,6.2,2.0
06-08-2022,23.4,31.0,25.9,88.0,0.0,4.8,1.0
07-08-2022,23.8,30.8,26.6,85.0,0.0,0.0,1.0
08-08-2022,23.7,30.4,25.2,92.0,0.0,1.4,1.0
09-08-2022,23.8,29.6,23.9,96.0,18.8,4.2,1.0
10-08-2022,23.2,25.2,23.9,96.0,97.5,0.6,0.0
11-08-2022,22.8,30.8,25.9,90.0,19.8,0.0,2.0
12-08-2022,22.4,31.0,26.2,87.0,19.0,4.3,2.0
13-08-2022,24.4,31.0,26.5,88.0,0.0,5.0,1.0
14-08-2022,23.2,31.8,26.8,84.0,6.4,4.5,1.0
15-08-2022,21.8,31.0,25.6,84.0,0.8,6.0,2.0
16-08-2022,22.6,31.0,26.1,82.0,0.8,5.6,1.0
17-08-2022,24.4,30.6,26.4,85.0,2.0,1.3,1.0
18-08-2022,24.1,30.2,26.7,85.0,1.0,3.1,2.0
19-08-2022,20.7,30.6,24.8,84.0,1.3,2.4,1.0
20-08-2022,23.2,31.4,26.3,78.0,0.5,6.8,1.0
21-08-2022,22.1,28.2,24.7,89.0,0.5,7.6,1.0
22-08-2022,24.0,31.2,26.8,80.0,7.3,0.8,2.0
23-08-2022,21.4,31.2,26.1,79.0,0.0,7.4,1.0
24-08-2022,24.2,29.6,26.2,86.0,2.4,8.3,2.0
25-08-2022,24.4,27.6,24.5,96.0,12.1,3.5,1.0
26-08-2022,23.8,29.4,26.3,87.0,38.0,0.0,1.0
27-08-2022,23.8,30.0,26.7,86.0,0.0,3.3,1.0
28-08-2022,23.8,31.4,26.6,86.0,5.8,3.6,1.0
29-08-2022,24.6,30.0,26.3,89.0,2.7,3.8,1.0
30-08-2022,24.0,29.2,25.8,92.0,10.7,4.7,1.0
31-08-2022,22.6,31.0,25.7,90.0,3.0,1.6,1.0
01-09-2022,23.3,31.6,26.8,86.0,14.1,4.5,1.0
02-09-2022,23.5,30.2,26.8,88.0,1.0,6.7,1.0
03-09-2022,24.2,29.2,25.7,95.0,25.7,2.7,1.0
04-09-2022,23.8,29.8,26.3,89.0,15.0,3.7,1.0
05-09-2022,23.2,28.6,24.9,91.0,2.0,1.4,1.0
06-09-2022,23.0,29.8,25.8,88.0,25.4,0.0,1.0
07-09-2022,23.7,31.7,26.6,85.5,0.2,3.6,1.0
08-09-2022,23.0,32.8,27.4,83.0,0.0,7.2,1.0
09-09-2022,24.0,33.0,27.7,80.0,0.0,6.2,1.0
10-09-2022,23.6,31.2,27.2,82.0,0.0,8.2,1.0
11-09-2022,22.8,30.6,26.3,84.0,0.0,5.4,1.0
12-09-2022,23.2,30.6,26.6,86.0,0.0,2.1,1.0
13-09-2022,24.0,32.4,27.7,80.0,4.0,3.5,2.0
14-09-2022,23.2,31.1,25.5,91.0,4.0,7.4,1.0
15-09-2022,22.7,27.8,24.2,94.0,21.3,3.1,1.0
16-09-2022,21.8,31.6,27.1,84.0,6.5,1.8,1.0
17-09-2022,23.6,29.0,26.0,90.0,1.4,7.0,0.0
18-09-2022,24.8,32.4,28.1,80.0,0.0,0.0,1.0
19-09-2022,24.0,30.3,26.5,88.0,0.0,4.4,0.0
20-09-2022,23.8,29.8,26.9,86.0,2.7,2.4,1.0
21-09-2022,23.8,29.3,25.4,91.5,2.7,4.4,1.0
22-09-2022,23.8,28.8,24.0,97.0,11.5,6.4,1.0
23-09-2022,22.0,32.2,26.6,86.0,110.7,0.7,1.0
24-09-2022,23.7,33.0,28.4,81.0,0.0,8.3,1.0
25-09-2022,23.2,32.6,28.0,78.0,0.0,9.1,1.0
26-09-2022,21.8,32.8,26.8,78.0,0.0,9.3,1.0
27-09-2022,23.2,33.1,27.8,80.0,0.0,8.1,1.0
28-09-2022,23.2,32.8,27.4,80.0,0.0,9.1,2.0
29-09-2022,25.0,31.6,27.7,84.0,1.0,9.4,1.0
30-09-2022,23.2,31.0,26.6,86.0,92.5,4.4,1.0
01-10-2022,23.0,32.6,28.3,80.0,92.5,6.3,1.0
02-10-2022,24.2,32.9,28.0,80.0,0.0,8.9,2.0
03-10-2022,24.8,32.1,27.3,85.0,0.0,7.0,1.0
04-10-2022,23.0,32.0,27.3,86.0,3.0,4.7,1.0
05-10-2022,24.2,32.2,27.8,82.0,1.5,6.6,1.0
06-10-2022,25.2,31.5,27.6,86.0,2.7,5.3,1.0
07-10-2022,23.8,32.6,27.5,86.0,0.0,6.3,1.0
08-10-2022,23.9,31.0,27.0,89.0,23.8,6.2,1.0
09-10-2022,24.9,30.2,27.2,88.0,0.7,3.6,1.0
10-10-2022,25.0,30.0,26.8,91.0,1.0,0.7,1.0
11-10-2022,24.2,29.6,27.0,90.0,3.5,0.2,1.0
12-10-2022,23.8,31.4,26.9,85.0,0.4,1.0,1.0
13-10-2022,24.0,32.4,26.6,84.0,0.4,4.8,1.0
14-10-2022,23.6,32.4,27.7,83.0,2.4,4.9,1.0
15-10-2022,23.8,33.8,28.5,82.0,1.3,6.7,2.0
16-10-2022,25.0,32.8,26.9,89.0,1.0,7.9,1.0
17-10-2022,24.2,32.2,27.5,84.0,14.5,4.2,2.0
18-10-2022,24.4,31.6,27.6,84.0,5.6,5.1,2.0
19-10-2022,24.6,32.2,28.2,83.0,9.5,5.0,1.0
20-10-2022,25.0,32.6,28.3,84.0,9.5,7.7,1.0
21-10-2022,23.8,33.6,28.4,83.0,0.0,7.7,2.0
22-10-2022,24.3,33.0,28.8,82.0,0.0,7.7,1.0
23-10-2022,24.4,34.4,28.4,82.0,0.0,7.0,2.0
24-10-2022,24.4,33.4,27.9,84.0,0.0,8.0,2.0
25-10-2022,23.7,34.2,28.4,81.0,0.0,5.6,2.0
26-10-2022,24.4,34.4,29.1,79.0,2.8,7.8,2.0
27-10-2022,24.9,33.7,27.9,84.0,0.0,7.3,2.0
28-10-2022,24.5,34.0,27.5,85.0,18.9,6.0,1.0
29-10-2022,24.8,32.1,27.4,86.0,2.2,4.2,1.0
30-10-2022,24.4,33.2,28.4,81.0,3.0,0.7,1.0
31-10-2022,25.4,31.6,27.9,85.0,0.8,6.4,1.0
01-11-2022,24.6,34.4,27.6,85.0,2.2,2.9,1.0
02-11-2022,24.5,31.2,26.0,94.0,1.5,5.1,1.0
03-11-2022,22.6,32.8,27.4,84.0,54.5,0.9,1.0
04-11-2022,24.4,33.3,29.1,81.0,54.5,9.1,1.0
05-11-2022,25.3,31.4,28.1,86.0,0.0,9.0,2.0
06-11-2022,24.4,31.5,26.7,87.0,0.0,2.8,2.0
07-11-2022,22.8,29.4,26.3,90.0,1.9,1.6,1.0
08-11-2022,24.0,32.2,27.2,87.0,4.9,1.1,1.0
09-11-2022,23.2,33.6,27.8,84.0,4.9,4.1,1.0
10-11-2022,23.2,33.6,27.8,82.0,0.0,5.8,1.0
11-11-2022,23.2,34.4,28.7,83.0,1.0,5.6,1.0
12-11-2022,24.3,33.1,28.8,81.0,0.0,7.7,1.0
13-11-2022,24.7,34.4,28.7,82.0,0.0,6.8,2.0
14-11-2022,23.8,33.8,28.2,84.0,1.0,3.6,2.0
15-11-2022,24.5,34.3,28.8,82.0,4.2,5.2,2.0
16-11-2022,25.2,31.8,27.0,87.0,0.0,6.6,1.0
17-11-2022,25.2,34.4,28.4,80.0,0.0,0.9,2.0
18-11-2022,25.2,32.4,27.1,86.0,0.0,8.8,4.0
19-11-2022,24.0,31.2,26.9,86.0,0.0,2.3,1.0
20-11-2022,24.0,32.6,26.5,89.0,0.0,0.0,1.0
21-11-2022,24.6,32.8,27.5,84.0,2.5,2.4,1.0
22-11-2022,25.4,32.6,26.7,90.0,0.0,3.7,2.0
23-11-2022,23.8,31.8,25.6,89.0,33.9,4.3,1.0
24-11-2022,22.7,33.4,26.7,84.0,32.0,2.0,1.0
25-11-2022,24.6,32.4,27.8,82.0,0.0,5.8,1.0
26-11-2022,22.9,34.2,27.6,80.0,0.8,3.8,1.0
27-11-2022,24.2,33.1,27.7,85.0,5.8,5.7,1.0
28-11-2022,23.6,33.2,27.3,85.0,2.9,5.3,2.0
29-11-2022,24.0,33.4,27.7,84.0,1.5,4.8,1.0
30-11-2022,24.0,31.8,27.1,87.0,7.0,4.0,1.0
01-12-2022,23.6,33.4,27.3,84.0,3.4,1.4,2.0
02-12-2022,23.8,32.0,27.0,85.0,0.0,4.7,1.0
03-12-2022,23.4,30.8,25.4,95.0,10.2,0.5,1.0
04-12-2022,23.3,31.2,25.8,91.0,22.6,3.0,1.0
05-12-2022,24.3,32.7,26.8,88.0,0.0,4.2,1.0
06-12-2022,23.2,33.4,27.1,88.0,26.9,2.1,1.0
07-12-2022,23.3,34.4,28.4,77.0,26.9,7.2,1.0
08-12-2022,23.4,34.6,28.2,80.0,0.0,8.4,1.0
09-12-2022,23.8,33.6,27.0,87.0,0.0,8.3,1.0
10-12-2022,24.2,34.0,28.5,80.0,0.0,6.8,2.0
11-12-2022,24.6,31.2,26.5,90.0,7.0,7.3,0.0
12-12-2022,23.8,32.1,27.5,86.0,28.4,2.1,1.0
13-12-2022,24.8,32.8,27.5,86.0,0.8,6.1,1.0
14-12-2022,24.4,29.4,26.0,92.0,15.4,3.1,0.0
15-12-2022,24.6,32.8,26.0,91.0,0.4,1.3,1.0
16-12-2022,23.8,33.6,27.5,85.0,11.8,2.1,2.0
17-12-2022,23.8,33.4,27.9,79.0,2.0,6.7,2.0
18-12-2022,25.4,30.8,27.4,85.0,0.0,5.8,1.0
19-12-2022,23.8,33.5,28.2,81.0,1.0,0.0,2.0
20-12-2022,24.4,33.0,27.7,82.0,0.0,4.7,3.0
21-12-2022,23.4,34.6,29.4,74.0,0.0,4.2,2.0
22-12-2022,22.8,34.6,28.4,76.0,0.0,9.0,1.0
23-12-2022,25.4,33.4,28.7,77.0,0.0,7.5,2.0
24-12-2022,25.7,31.3,27.9,76.0,0.0,4.8,3.0
25-12-2022,24.2,32.2,28.8,74.0,0.0,0.6,1.0
26-12-2022,23.6,29.4,26.0,86.0,2.6,1.0,1.0
27-12-2022,23.6,32.4,25.8,90.0,0.5,0.0,1.0
28-12-2022,24.0,30.8,26.8,84.0,6.2,2.4,1.0
29-12-2022,23.0,33.8,28.2,76.0,0.0,0.0,2.0
30-12-2022,25.2,34.0,28.8,74.0,0.0,8.2,2.0
31-12-2022,24.6,32.8,27.8,80.0,0.0,4.2,2.0
01-01-2023,24.6,35.2,28.7,79.0,0.0,4.4,1.0
02-01-2023,24.8,34.4,28.5,77.0,0.0,6.6,2.0
03-01-2023,24.8,32.6,28.3,75.0,0.0,7.7,4.0
04-01-2023,24.9,31.4,27.4,79.0,0.0,2.5,2.0
05-01-2023,25.0,34.0,28.3,72.0,0.0,0.5,3.0
06-01-2023,24.2,34.0,28.4,74.5,0.0,7.8,2.0
07-01-2023,24.8,33.0,28.5,77.0,0.0,7.5,2.0
08-01-2023,24.8,32.2,28.1,81.0,0.0,2.6,1.0
09-01-2023,24.0,31.4,26.7,82.0,0.3,0.4,2.0
10-01-2023,22.9,33.3,26.4,82.0,0.0,0.8,3.0
11-01-2023,22.2,32.6,26.9,80.0,0.0,3.6,2.0
12-01-2023,22.2,34.8,26.8,82.0,0.0,2.6,1.0
13-01-2023,23.6,34.4,28.4,79.0,0.0,4.8,2.0
14-01-2023,23.6,35.2,28.9,80.0,0.0,7.2,1.0
15-01-2023,24.0,33.4,27.6,84.0,0.0,5.9,1.0
16-01-2023,24.0,32.8,28.2,84.0,2.2,1.7,1.0
17-01-2023,25.2,32.8,27.7,85.0,0.0,2.4,1.0
18-01-2023,23.8,32.6,26.8,86.0,3.0,4.2,1.0
19-01-2023,23.8,32.8,27.0,82.0,3.0,4.9,1.0
20-01-2023,23.2,33.4,26.7,86.0,0.0,2.8,1.0
21-01-2023,23.4,32.2,26.3,87.0,0.0,4.3,1.0
22-01-2023,22.8,34.8,28.4,81.0,2.8,2.1,2.0
23-01-2023,24.2,34.0,28.0,80.0,2.8,5.0,2.0
24-01-2023,23.4,33.0,27.3,82.0,0.0,9999.0,2.0
25-01-2023,24.0,32.0,27.2,85.0,0.0,5.6,1.0
26-01-2023,24.2,28.0,27.8,82.0,3.4,3.0,1.0
27-01-2023,24.2,23.9,26.3,87.0,9.5,6.3,1.0
28-01-2023,23.9,31.8,27.1,86.0,5.9,1.3,1.0
29-01-2023,24.4,32.0,26.6,90.0,0.0,1.9,2.0
30-01-2023,22.8,33.4,26.6,87.0,33.5,1.5,1.0
31-01-2023,24.0,30.6,26.6,88.0,1.5,4.9,1.0
