Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
22-07-2022,24.4,31,26.6,88,6.5,2.4,0
23-07-2022,23.5,31,26.4,86,8888,3.4,0
24-07-2022,22,30.9,25.6,80,0,3.8,1
25-07-2022,21.4,31,25.3,83,0,6.8,1
26-07-2022,24.2,29.4,25.8,91,0,4.5,1
27-07-2022,23.4,30.8,26,85,16.4,2.1,1
28-07-2022,22,30.6,25.8,82,1.2,6.2,1
29-07-2022,24,31.4,26.4,82,1,4.5,2
30-07-2022,23.2,30.2,26.1,87,1.5,5.3,1
31-07-2022,24.4,27.4,24.9,95,33.2,3.3,2
01-08-2022,23.8,28.6,26,90,15.9,0.6,1
02-08-2022,24,30.6,26.6,86,7,0.5,1
03-08-2022,23.6,31.4,26.9,81,8888,7.1,1
04-08-2022,22,31.7,26.2,82,0,7.9,1
05-08-2022,22,31.5,26.3,80,0,6.2,2
06-08-2022,23.4,31,25.9,88,0,4.8,1
07-08-2022,23.8,30.8,26.6,85,8888,0,1
08-08-2022,23.7,30.4,25.2,92,0,1.4,1
09-08-2022,23.8,29.6,23.9,96,18.8,4.2,1
10-08-2022,23.2,25.2,23.9,96,97.5,0.6,0
11-08-2022,22.8,30.8,25.9,90,19.8,0,2
12-08-2022,22.4,31,26.2,87,19,4.3,2
13-08-2022,24.4,31,26.5,88,0,5,1
14-08-2022,23.2,31.8,26.8,84,6.4,4.5,1
15-08-2022,21.8,31,25.6,84,0.8,6,2
16-08-2022,22.6,31,26.1,82,8888,5.6,1
17-08-2022,24.4,30.6,26.4,85,2,1.3,1
18-08-2022,24.1,30.2,26.7,85,1,3.1,2
19-08-2022,20.7,30.6,24.8,84,1.3,2.4,1
20-08-2022,23.2,31.4,26.3,78,0.5,6.8,1
21-08-2022,22.1,28.2,24.7,89,8888,7.6,1
22-08-2022,24,31.2,26.8,80,7.3,0.8,2
23-08-2022,21.4,31.2,26.1,79,0,7.4,1
24-08-2022,24.2,29.6,26.2,86,2.4,8.3,2
25-08-2022,24.4,27.6,24.5,96,12.1,3.5,1
26-08-2022,23.8,29.4,26.3,87,38,0,1
27-08-2022,23.8,30,26.7,86,0,3.3,1
28-08-2022,23.8,31.4,26.6,86,5.8,3.6,1
29-08-2022,24.6,30,26.3,89,2.7,3.8,1
30-08-2022,24,29.2,25.8,92,10.7,4.7,1
31-08-2022,22.6,31,25.7,90,3,1.6,1
01-09-2022,23.3,31.6,26.8,86,14.1,4.5,1
02-09-2022,23.5,30.2,26.8,88,1,6.7,1
03-09-2022,24.2,29.2,25.7,95,25.7,2.7,1
04-09-2022,23.8,29.8,26.3,89,15,3.7,1
05-09-2022,23.2,28.6,24.9,91,2,1.4,1
06-09-2022,23,29.8,25.8,88,25.4,0,1
07-09-2022,23.7,31.7,,,0.2,3.6,1
08-09-2022,23,32.8,27.4,83,0,7.2,1
09-09-2022,24,33,27.7,80,0,6.2,1
10-09-2022,23.6,31.2,27.2,82,0,8.2,1
11-09-2022,22.8,30.6,26.3,84,0,5.4,1
12-09-2022,23.2,30.6,26.6,86,0,2.1,1
13-09-2022,24,32.4,27.7,80,4,3.5,2
14-09-2022,23.2,31.1,25.5,91,8888,7.4,1
15-09-2022,22.7,27.8,24.2,94,21.3,3.1,1
16-09-2022,21.8,31.6,27.1,84,6.5,1.8,1
17-09-2022,23.6,29,26,90,1.4,7,0
18-09-2022,24.8,32.4,28.1,80,0,0,1
19-09-2022,24,30.3,26.5,88,0,4.4,0
20-09-2022,23.8,,26.9,86,2.7,2.4,1
21-09-2022,,,,,,,
22-09-2022,23.8,28.8,24,97,11.5,6.4,1
23-09-2022,22,32.2,26.6,86,110.7,0.7,1
24-09-2022,23.7,33,28.4,81,0,8.3,1
25-09-2022,23.2,32.6,28,78,0,9.1,1
26-09-2022,21.8,32.8,26.8,78,0,9.3,1
27-09-2022,23.2,33.1,27.8,80,,8.1,1
28-09-2022,23.2,32.8,27.4,80,0,9.1,2
29-09-2022,25,31.6,27.7,84,1,9.4,1
30-09-2022,23.2,31,26.6,86,92.5,4.4,1
01-10-2022,23,32.6,28.3,80,8888,6.3,1
02-10-2022,24.2,32.9,28,80,0,8.9,2
03-10-2022,24.8,32.1,27.3,85,0,7,1
04-10-2022,23,32,27.3,86,3,4.7,1
05-10-2022,24.2,32.2,27.8,82,1.5,6.6,1
06-10-2022,25.2,31.5,27.6,86,2.7,5.3,1
07-10-2022,23.8,32.6,27.5,86,0,6.3,1
08-10-2022,23.9,31,27,89,23.8,6.2,1
09-10-2022,24.9,30.2,27.2,88,0.7,3.6,1
10-10-2022,25,30,26.8,91,1,0.7,1
11-10-2022,24.2,29.6,27,90,3.5,0.2,1
12-10-2022,23.8,31.4,26.9,85,0.4,1,1
13-10-2022,24,32.4,26.6,84,8888,4.8,1
14-10-2022,23.6,32.4,27.7,83,2.4,4.9,1
15-10-2022,23.8,33.8,28.5,82,1.3,6.7,2
16-10-2022,25,32.8,26.9,89,1,7.9,1
17-10-2022,24.2,32.2,27.5,84,14.5,4.2,2
18-10-2022,24.4,31.6,27.6,84,5.6,5.1,2
19-10-2022,24.6,32.2,28.2,83,9.5,5,1
20-10-2022,25,32.6,28.3,84,8888,7.7,1
21-10-2022,23.8,33.6,28.4,83,0,7.7,2
22-10-2022,24.3,33,28.8,82,0,7.7,1
23-10-2022,,34.4,28.4,82,,7,2
24-10-2022,24.4,33.4,27.9,84,0,8,2
25-10-2022,23.7,34.2,28.4,81,8888,5.6,2
26-10-2022,24.4,34.4,29.1,79,2.8,7.8,2
27-10-2022,24.9,33.7,27.9,84,0,7.3,2
28-10-2022,24.5,34,27.5,85,18.9,6,1
29-10-2022,24.8,32.1,27.4,86,2.2,4.2,1
30-10-2022,24.4,33.2,28.4,81,3,0.7,1
31-10-2022,25.4,31.6,27.9,85,0.8,6.4,1
01-11-2022,24.6,34.4,27.6,85,2.2,2.9,1
02-11-2022,24.5,31.2,26,94,1.5,5.1,1
03-11-2022,22.6,32.8,27.4,84,54.5,0.9,1
04-11-2022,24.4,33.3,29.1,81,,9.1,1
05-11-2022,25.3,31.4,28.1,86,0,9,2
06-11-2022,24.4,31.5,26.7,87,8888,2.8,2
07-11-2022,22.8,29.4,26.3,90,1.9,1.6,1
08-11-2022,24,32.2,27.2,87,4.9,1.1,1
09-11-2022,23.2,33.6,27.8,84,8888,4.1,1
10-11-2022,23.2,33.6,27.8,82,0,5.8,1
11-11-2022,23.2,34.4,28.7,83,1,5.6,1
12-11-2022,24.3,33.1,28.8,81,0,7.7,1
13-11-2022,24.7,34.4,28.7,82,,6.8,2
14-11-2022,23.8,33.8,28.2,84,1,3.6,2
15-11-2022,,34.3,28.8,82,4.2,5.2,2
16-11-2022,25.2,31.8,27,87,0,6.6,1
17-11-2022,,34.4,28.4,80,8888,0.9,2
18-11-2022,25.2,32.4,27.1,86,0,8.8,4
19-11-2022,24,31.2,26.9,86,8888,2.3,1
20-11-2022,24,32.6,26.5,89,8888,0,1
